iter	RMSE
0	5070.24139
1	4985.767457
2	4903.194688
3	4840.858322
4	4770.414406
5	4712.592047
6	4658.395599
7	4607.075581
8	4548.997632
9	4509.106686
10	4472.283334
11	4434.079828
12	4403.109428
13	4369.434317
14	4335.389811
15	4305.43657
16	4277.622849
17	4249.109605
18	4224.353506
19	4200.65761
20	4182.236005
21	4162.799702
22	4140.907397
23	4122.819669
24	4097.862578
25	4070.235146
26	4053.317032
27	4035.689801
28	4018.30242
29	4004.904526
30	3977.587792
31	3962.132546
32	3941.919342
33	3931.311757
34	3915.94443
35	3900.979507
36	3889.240353
37	3873.144357
38	3852.111012
39	3839.473172
40	3826.073072
41	3816.317787
42	3802.51836
43	3782.710029
44	3768.811323
45	3760.136523
46	3748.700872
47	3738.221216
48	3728.633421
49	3722.089082
50	3710.434278
51	3699.59407
52	3690.99062
53	3680.386857
54	3670.400684
55	3666.181375
56	3660.249967
57	3653.526939
58	3642.074592
59	3631.385427
60	3625.292223
61	3616.405529
62	3608.618698
63	3603.943694
64	3598.867403
65	3586.410708
66	3583.061076
67	3574.361149
68	3568.84204
69	3563.498768
70	3558.383897
71	3553.157087
72	3545.099798
73	3537.511828
74	3530.042081
75	3523.662452
76	3519.466672
77	3510.220859
78	3502.439026
79	3495.628412
80	3489.499018
81	3484.473922
82	3475.370717
83	3470.79882
84	3466.522468
85	3460.006497
86	3455.503396
87	3449.799317
88	3444.647781
89	3439.984103
90	3435.988324
91	3431.244846
92	3425.969932
93	3420.22643
94	3415.468277
95	3410.327477
96	3406.517497
97	3403.537411
98	3398.784464
99	3392.514309
100	3387.515908
101	3381.605361
102	3377.880746
103	3374.440053
104	3369.401025
105	3360.81022
106	3356.603697
107	3349.229192
108	3344.97614
109	3337.814877
110	3333.690554
111	3331.092959
112	3329.164542
113	3326.155015
114	3321.831191
115	3318.11984
116	3313.087003
117	3307.166067
118	3303.796889
119	3298.855944
120	3295.868786
121	3290.787871
122	3287.204589
123	3283.965883
124	3280.066456
125	3278.098001
126	3271.55466
127	3267.813797
128	3263.094693
129	3258.021398
130	3254.450583
131	3251.829857
132	3248.98366
133	3246.725344
134	3243.496249
135	3239.473638
136	3238.41065
137	3235.542467
138	3231.177585
139	3226.591475
140	3222.033341
141	3215.665679
142	3210.884274
143	3206.715919
144	3202.085645
145	3197.316837
146	3193.90544
147	3189.761551
148	3187.00354
149	3184.157524
150	3180.819355
151	3178.949289
152	3174.010195
153	3169.523906
154	3167.100782
155	3163.475035
156	3160.527458
157	3153.616033
158	3150.077367
159	3146.942835
160	3143.683833
161	3137.752176
162	3133.906418
163	3131.875714
164	3126.43165
165	3124.352551
166	3121.441694
167	3116.231939
168	3111.84145
169	3109.882937
170	3107.385182
171	3103.856351
172	3100.086541
173	3097.593385
174	3096.247354
175	3094.213925
176	3088.797641
177	3084.668629
178	3081.13582
179	3076.701374
180	3073.678779
181	3073.029361
182	3069.117841
183	3065.692329
184	3062.146351
185	3058.909726
186	3057.17162
187	3054.311876
188	3052.3199
189	3047.496685
190	3044.1547
191	3041.755928
192	3036.990545
193	3035.2312
194	3032.869711
195	3028.738738
196	3026.269461
197	3024.565927
198	3020.451468
199	3017.086975
200	3016.27055
201	3014.232582
202	3012.318486
203	3008.757212
204	3004.997174
205	3004.563866
206	3000.172452
207	2997.502639
208	2992.500507
209	2989.524835
210	2986.838179
211	2984.53165
212	2980.48878
213	2977.245856
214	2974.906274
215	2973.081075
216	2968.023947
217	2963.891894
218	2960.660929
219	2957.929139
220	2954.597564
221	2952.423543
222	2951.933298
223	2947.98531
224	2943.933973
225	2938.883042
226	2936.27673
227	2933.819299
228	2929.256019
229	2926.531223
230	2923.67571
231	2920.692695
232	2917.782501
233	2915.488468
234	2914.708592
235	2912.333592
236	2909.258694
237	2906.326148
238	2903.067477
239	2899.150813
240	2896.82923
241	2895.791098
242	2893.154046
243	2890.20821
244	2887.965904
245	2885.443461
246	2883.40306
247	2880.596789
248	2878.154285
249	2875.662502
250	2872.015251
251	2868.221481
252	2866.873863
253	2865.236005
254	2861.968796
255	2860.389681
256	2855.475228
257	2852.656102
258	2850.597355
259	2847.971301
260	2844.732931
261	2840.937497
262	2837.762264
263	2835.06285
264	2834.059298
265	2832.461393
266	2830.953208
267	2827.681772
268	2826.012702
269	2825.164662
270	2821.887754
271	2818.87213
272	2816.327342
273	2813.465833
274	2810.475826
275	2808.208487
276	2805.298891
277	2803.219046
278	2800.532009
279	2798.956558
280	2797.475756
281	2796.805759
282	2793.379734
283	2791.9568
284	2790.913147
285	2787.967196
286	2784.805435
287	2782.141564
288	2778.519601
289	2777.359045
290	2775.682977
291	2772.412894
292	2769.559522
293	2766.944104
294	2765.691308
295	2763.322564
296	2760.691168
297	2757.462644
298	2757.27697
299	2755.234797
300	2753.463235
301	2752.034384
302	2749.762783
303	2748.621056
304	2745.981386
305	2743.391396
306	2742.418459
307	2741.296767
308	2739.891788
309	2737.537
310	2736.809723
311	2734.706885
312	2731.349394
313	2730.440101
314	2727.627473
315	2724.965358
316	2722.986322
317	2719.669763
318	2717.001025
319	2714.777464
320	2712.888027
321	2710.302539
322	2708.309572
323	2707.474976
324	2704.890835
325	2702.092013
326	2700.154058
327	2698.634984
328	2696.300268
329	2694.111191
330	2692.199565
331	2689.755402
332	2688.173522
333	2686.52647
334	2684.131947
335	2681.95258
336	2680.166561
337	2678.658032
338	2675.993267
339	2673.883834
340	2671.636206
341	2670.625044
342	2668.858633
343	2668.224264
344	2664.609575
345	2663.360709
346	2661.415971
347	2659.50132
348	2658.049332
349	2655.615298
350	2653.185605
351	2651.191038
352	2650.664893
353	2649.383408
354	2648.485906
355	2646.789256
356	2644.943009
357	2643.37345
358	2642.279904
359	2640.430571
360	2638.550658
361	2636.142228
362	2634.195656
363	2631.884325
364	2629.182667
365	2627.775555
366	2626.416361
367	2625.464149
368	2622.811058
369	2620.475678
370	2618.160088
371	2617.284607
372	2615.154949
373	2613.387566
374	2612.361153
375	2610.3358
376	2608.702115
377	2606.03895
378	2604.713195
379	2603.719325
380	2602.224248
381	2601.2591
382	2599.833583
383	2597.986149
384	2595.90895
385	2594.294526
386	2592.03821
387	2590.368525
388	2588.540079
389	2586.794448
390	2583.578426
391	2582.546
392	2579.128593
393	2576.996091
394	2575.335436
395	2572.94613
396	2570.885251
397	2569.928492
398	2568.185468
399	2565.487487
400	2562.881248
401	2561.438795
402	2561.221756
403	2558.481399
404	2556.366173
405	2554.233279
406	2551.599364
407	2549.712011
408	2549.243518
409	2547.972011
410	2546.380751
411	2544.360352
412	2543.257404
413	2542.950869
414	2541.901497
415	2540.486566
