iter	Passed	Remaining
0	8	8093
1	14	7287
2	20	6953
3	27	6784
4	33	6657
5	39	6570
6	45	6506
7	52	6465
8	58	6452
9	64	6409
10	70	6358
11	76	6330
12	83	6328
13	90	6367
14	96	6347
15	102	6294
16	108	6271
17	114	6232
18	119	6176
19	125	6140
20	131	6109
21	137	6092
22	143	6095
23	149	6088
24	155	6070
25	162	6105
26	168	6088
27	175	6084
28	180	6047
29	185	6007
30	191	5975
31	196	5942
32	201	5908
33	206	5879
34	212	5858
35	217	5824
36	222	5803
37	228	5780
38	233	5759
39	239	5753
40	245	5730
41	250	5705
42	255	5689
43	260	5669
44	266	5645
45	271	5625
46	276	5596
47	280	5568
48	285	5542
49	290	5518
50	295	5493
51	300	5474
52	305	5452
53	310	5431
54	314	5409
55	319	5392
56	324	5373
57	329	5352
58	334	5337
59	339	5317
60	344	5298
61	349	5285
62	354	5267
63	358	5248
64	363	5232
65	368	5217
66	373	5200
67	378	5184
68	383	5170
69	387	5154
70	392	5138
71	397	5129
72	402	5115
73	407	5100
74	412	5091
75	418	5085
76	422	5070
77	427	5057
78	432	5045
79	437	5033
80	442	5023
81	447	5013
82	452	5002
83	458	4994
84	463	4986
85	468	4975
86	473	4964
87	478	4956
88	483	4946
89	488	4936
90	493	4924
91	497	4914
92	502	4903
93	508	4896
94	513	4889
95	518	4880
96	523	4872
97	528	4862
98	533	4854
99	538	4843
100	543	4835
101	547	4823
102	552	4814
103	557	4804
104	562	4794
105	567	4786
106	572	4776
107	577	4767
108	582	4759
109	587	4751
110	592	4742
111	597	4733
112	601	4724
113	606	4717
114	612	4711
115	617	4702
116	622	4696
117	627	4689
118	632	4684
119	637	4676
120	643	4674
121	648	4665
122	653	4658
123	658	4652
124	663	4646
125	668	4639
126	674	4636
127	679	4628
128	684	4622
129	690	4620
130	695	4613
131	700	4604
132	705	4600
133	710	4594
134	715	4586
135	720	4579
136	725	4572
137	731	4566
138	736	4562
139	741	4555
140	746	4550
141	751	4543
142	757	4540
143	762	4532
144	767	4525
145	773	4523
146	778	4516
147	783	4509
148	788	4505
149	793	4498
150	799	4492
151	804	4489
152	809	4482
153	815	4477
154	821	4478
155	827	4474
156	832	4469
157	837	4465
158	843	4459
159	848	4454
160	853	4450
161	858	4442
162	863	4435
163	869	4432
164	874	4427
165	879	4420
166	885	4414
167	890	4408
168	895	4403
169	900	4398
170	905	4391
171	911	4385
172	916	4381
173	921	4375
174	926	4367
175	931	4362
176	937	4357
177	942	4352
178	947	4344
179	952	4341
180	958	4337
181	963	4330
182	968	4324
183	973	4316
184	978	4309
185	984	4306
186	988	4298
187	993	4290
188	998	4285
189	1003	4279
190	1008	4272
191	1014	4267
192	1018	4260
193	1023	4252
194	1028	4246
195	1033	4240
196	1038	4232
197	1043	4225
198	1048	4220
199	1053	4213
200	1057	4205
201	1062	4198
202	1067	4191
203	1072	4184
204	1077	4178
205	1082	4170
206	1086	4163
207	1091	4157
208	1096	4151
209	1102	4145
210	1106	4138
211	1111	4131
212	1116	4125
213	1121	4117
214	1126	4111
215	1130	4104
216	1135	4098
217	1141	4093
218	1146	4089
219	1152	4084
220	1157	4078
221	1162	4073
222	1166	4065
223	1171	4058
224	1176	4053
225	1181	4047
226	1186	4040
227	1191	4035
228	1196	4028
229	1201	4022
230	1206	4016
231	1211	4010
232	1216	4004
233	1221	3999
234	1226	3993
235	1231	3986
236	1236	3979
237	1241	3974
238	1246	3968
239	1251	3962
240	1256	3956
241	1261	3949
242	1266	3943
243	1270	3937
244	1275	3931
245	1280	3925
246	1285	3919
247	1290	3912
248	1295	3906
249	1300	3900
250	1305	3894
251	1310	3889
252	1315	3885
253	1321	3880
254	1326	3875
255	1331	3869
256	1336	3864
257	1342	3859
258	1347	3855
259	1352	3849
260	1357	3844
261	1363	3839
262	1368	3834
263	1373	3830
264	1379	3825
265	1384	3819
266	1389	3814
267	1394	3809
268	1399	3803
269	1404	3798
270	1410	3793
271	1415	3788
272	1421	3784
273	1426	3779
274	1431	3774
275	1437	3770
276	1442	3765
277	1447	3759
278	1453	3755
279	1458	3749
280	1463	3744
281	1468	3738
282	1473	3733
283	1478	3727
284	1483	3722
285	1488	3717
286	1494	3711
287	1499	3706
288	1504	3701
289	1509	3695
290	1514	3690
291	1520	3685
292	1525	3681
293	1530	3674
294	1535	3670
295	1541	3665
296	1546	3660
297	1551	3655
298	1556	3648
299	1561	3643
300	1567	3639
301	1572	3633
302	1577	3627
303	1582	3622
304	1587	3617
305	1592	3612
306	1598	3607
307	1603	3602
308	1608	3597
309	1613	3591
310	1618	3586
311	1629	3593
312	1634	3588
313	1639	3581
314	1644	3576
315	1650	3571
316	1655	3566
317	1660	3560
318	1665	3556
319	1671	3550
320	1676	3545
321	1681	3540
322	1686	3535
323	1691	3528
324	1696	3524
325	1702	3519
326	1707	3513
327	1712	3508
328	1718	3504
329	1722	3497
330	1728	3492
331	1733	3487
332	1738	3482
